SHIP_TSUKUYOMI_IOT|Фрегат класу "Tsukuyomi" ( списаний)
SHIP_OCP209_SNAP_DESC|Модель 207-SNAP - це версія ОБП-209, в якій реалізована конструкція екскаватора, що розглядалася на етапі розробки прототипу. Її важкі подвійні двері краще підходять для дроблення кільцевих астероїдів, ніж у аналогічної моделі - і, на жаль, для тендітного обладнання, яке вона призначена обслуговувати. \n\nЧерез свою унікальну конфігурацію, допомога автопілота для суден зі змінною геометрією на цій моделі недоступна.

SHIP_OCP209_SNAP_SPECS|Вироблено: Obonto Microengineering \nКріплення високої міцності: 2 \nКріплення низької міцності: 2 \nДок-відсіки: 4 \nЕкіпаж: 8 \nСуха маса: 184,500 кг\nВантажний відсік: 610 м^3\nСклад обробленого вантажу (сукупний): 50,000 кг



SHIP_COTHON_LUX|SSE Cothon-2200-XL

SHIP_COTHON_LUX_DESC|Цей неофіційний "модернізований" варіант Cothon-213 Triplet має додатковий 'відсік для екіпажу' (рятувальну капсулу), додаткову пару маневрових двигунів і кілька "преміум" функцій, таких як комбіноване приміщення для відпочинку та їдальня, оббиті дихаючою тканиною сидіння та функціональну вбиральню. Дві капсули з'єднані разом на їхніх базових стикувальних портах і закріплені на рамі стандартним аварійним обладнанням швидкого звільнення. XL означає "Додаткова Любов". \n\nКомпанія Sin Space Engineering не надає жодних гарантій, явних чи неявних.

SHIP_COTHON_LUX_SPECS|Вироблено: Sin Space Engineering / Conlido RVM \nКріплення низької міцності: 4 \nЕкіпаж: 6 \nСуха маса: 77,250 кг \nВантажний відсік: 260 м^3 \nСклад обробленого вантажу: 25,000 кг



SHIP_MADCERF_CIV|MAD-CERF (цивільне переобладнання)

SHIP_MADCERF_CIV_DESC|Це цивільне переобладнання, здійснене у співпраці з Obonto Microengineering, впроваджує низку змін для задоволення різноманітних вимог середовища кілець. Компактний верхній житловий модуль був перенесений на ніс і замінений розширеною ОБП-стандартною центрифугою, що збільшує ефективну місткість екіпажу до восьми осіб. Крім того, стикувальний відсік був закритий сітчастим кошиком, а затискачі були зняті для підтримки операцій з видобутку мінералів, а в його задній переборці з'явилися величезні розсувні двері для приймання великих вантажів.  Значна частина носової підструктури  також була замінена вантажними відсіками, завдяки чому судно має більше місця для оброблених мінералів, ніж будь-яке інше судно на цивільному ринку.

SHIP_MADCERF_CIV_SPECS|Вироблено: Machines Astro-Dynamiques / Obonto Microengineering \nКріплення високої міцності: 1 \nКріплення низької міцності: 2 \nТурельні кріплення: 2 \nКріплення дронів: 2 \nЕкіпаж: 6 \nСуха маса: 195,000 кг \nВантажний відсік: 1,300 м^3 \nСклад обробленого вантажу: 45,000 кг


SHIP_MADCERF_DESC|Machines Astro-Dynamiques Cernunnos Modèle II, інакше відомий як MAD-CERF, є основним кораблем рятувальних компаній в межах кілець Сатурна. Його важко броньований ніс, розрахований для подорожей в астероїдному поясі, є неелегантним, але ефективним рішенням для багатьох небезпек, які виникають під час міжпланетних подорожей. Два реактори по обидва боки судна живлять свої пари двигунів та маневрових двигунів.



SHIP_OBERON|UMC Oberon MLP-60

SHIP_OBERON_DESC|Oberon MLP-60 - цікавий корабель, виготовлений компанією United Machine Cults. Спочатку це був автономний транспортний засіб, що запускався електромагнітними рейкотронами для орбітальних гоночних подій. Він був витіснений пізнішими одиницями з термоядерними двигунами, але ентузіасти швидко розкупили залишки, і зрештою він потрапив до кілець. Шість стрічкових радіаторів, по три з кожного боку, охолоджують його високопродуктивний реактор і частково захищають відкриті паливні баки, хоча навряд чи це потрібно через комічну кількість маневрових двигунів судна. \n\nДля того, щоб зробити судно придатним для роботи в кільцях, було здійснено декілька модифікацій: його магнітні контакти були розумно переобладнані в два кріплення високої місноцсті, інфраструктура інтерфейсу була вбудована в невеликий вантажний відсік в носовій частині судна для підтримки Установок з Переробки Мінералів (ледь, і з незначним виділеним внутрішнім простором для їх підтримки), а розкішна рятувальна капсула HAL-9001 слугує комфортною кабіною і відсіком для екіпажу.

SHIP_OBERON_SPECS|Вироблено: United Machine Cults / Custom-built \nКріплення високої міцності: 2 \nКріплення дронів: 1 \nЕкіпаж: 4 \nСуха маса: 26,400 кг \nВантажний відсік: 50 м^3 \nСклад обробленого вантажу: 12,000 кг (сукупний)

SYSTEM_REACTOR_OBERON|Реактор високої продуктивності Oberon



SHIP_TRTL_RAM|KX37 TNTRL "RAM"

SHIP_TRTL_RAM_DESC|Варіант "Ringa Aftermarket Modification" (RAM) моделі KX37, зазвичай просто називають "Ram", це модифікаційна схема, яка набула популярності у 2269 році після поширення користувачем RingChan з ніком 'BLKCandy'. Ця схема жертвує помірною кількістю місткості для мінералів, щоб додати живлення і напрямні рейки для двох точок кріплення дронів на хвостовій частині хребтів судна, замінює стаціонарні кріплення двигунів на варіанти з карданним підвісом і переробляє RCS блістери для покращеної мобільності. \n\nНайбільш примітною особливістю є подрібнювач породи типу Prospector, придбаний безпосередньо на ринку утилізації. Його установка робить лише незначні поступки комфорту екіпажу, будучи надзвичайно шумною під час роботи і трохи зменшуючи площу підлоги в зоні відпочинку.

SHIP_TRTL_RAM_SPECS|Вироблено: Rusatom-Antonoff / Індивідуальне виготовлення \nКріплення високої міцності: 1 \nКріплення низької міцності: 2 \nКріплення дронів: 2 \nЕкіпаж: 4 \nСуха маса: 42,920 кг \nВантажний відсік: 110 м^3 \nСклад обробленого вантажу: 40,000 кг (сукупний) \nЗахист від ЕМІ: 100 MW

SYSTEM_REACTOR_TNTRL_FORT|Посилений ядерний реактор K37



SHIP_ATLAS_WASP|Розвідник класу Wasp (списанний)

SHIP_ATLAS_WASP_DESC|Вироблені в середині 2200-х років, автоматизовані тактичні розвідники Nakamura Dynamics Wasp класу [ВИДАЛЕНО] використовують [ВИДАЛЕНО] як джерело живлення і [ВИДАЛЕНО], забезпечуючи постійну [ВИДАЛЕНО] мегават електричної енергії, доки [ВИДАЛЕНО] транспортного засобу [ВИДАЛЕНО]. Клітка Фарадея ізолює більшу частину транспортного засобу, захищаючи його від статичних розрядів у щільному космічному середовищі та забезпечуючи зручний вектор розсіювання заряду для [ВИДАЛЕНО]. \n\nОтож, це все було весело? Ця версія, ексклюзивно для вас з верфей Sin Space Engineering, тепер абсолютно розкрита, списана та, мабуть, легалізована, з численними корисними особливостями,  таких як ефективний рідинний маховик, "Корпус реактора", з якого було вирвано [ВИДАЛЕНО] (він був таким, коли ми його отримали), і, ймовірно, функціональний вантажний відсік, і все це увінчано переобладнаною для її задоволення рятувальною капсулою Conlido Classic™. \n\nГарантія? Чорт забирай, ні. Керуй клятим кораблем, Рінга. І якщо хтось запитає, де ви взяли цю штуку, зателефонуйте нам і надішліть свої журнали, щоб отримати 25% знижку на наступну покупку.

SHIP_ATLAS_WASP_SPECS|Вироблено: Sin Space Engineering / Nakamura Dynamics \nКріплення низької міцності: 2 \nКут видхилення рушііїв: 36 град \nЕкіпаж: 3 \nСуха маса: 8,250 кг \nВантажний відсік: 40 м^3 \nСклад обробленого вантажу: 500 кг \nЗахист від ЕМІ: 320 MW

SYSTEM_REACTOR_JURYRIG|Імпровізований реактор

SYSTEM_REACTIONWHEEL_PERF|Рідинний маховик



SHIP_PROSPECTOR_PIGEON|Pigeon Prospector

SHIP_PROSPECTOR_PIGEON_DESC|Що станеться, коли Pelican і Vulture дуже люблять одне одного? Висока ціна Pigeon повністю зумовлена неймовірними навичками, витраченими на його реалізацію; додаткові зміцнювальні стійки підтримують кріплення високої міцності на передній частині судна, всю систему живлення та обладнання було перероблено, щоб забезпечити його. Вантаєний відсік також був скорочений, щоб витримати навантаженням, що дозволило встановити стандартний подрібнювач породи.

SHIP_PROSPECTOR_PIGEON_SPECS|Вироблено: Mitsudaya-Starbus / Conlido RVM \nКріплення високої міцності: 1 \nКріплення низької міцності: 2 \nЕкіпаж: 6 \nСуха маса: 70,000 кг \nВантажний відсік: 70 м^3 \nСклад обробленого вантажу: 14,000 кг



SHIP_AT225_STUB|Antonoff-Titan K225-SH

SHIP_AT225_STUB_DESC|Короткий варіант, ласкаво прозваний "Stubby" ентузіастами серії, почав виробництво лише через три роки після надзвичайно успішного запуску базового варіанту і призначений для експрес-транзиту по всій Сонячній системі. SH компенсує втрату середньої частини легкою, маневреною рамою та вбудованими кріпленнями для монтажу нанодронів, що робить його чудовою альтернативою базовій моделі в шахтарських операціях.

SHIP_AT225_STUB_SPECS| Вироблено: Antonoff-Titan Heavy Industries \nКріплення низької міцності: 2 \nКріплення дронів: 2 \nДок-відсіки: 4 \nЕкіпаж: 12 \nСуха маса: 160,000 кг\nВантажний відсік: 280 м^3 \nСховище обробленого вантажу: 5,000 кг



SHIP_TRTL_OCP|SSE KO72X TNTRL

SHIP_TRTL_OCP_DESC|"О, Боже мій, що це таке?", - сказали вони. "Це не полетить", - сказали вони. "Припиніть нам дзвонити, або ми подамо на вас до суду", - сказали в унісон і Antonoff, і Obonto. Саме в цьому хорі відмов та скиглення ми створили диво, яким є KO72X TNTRL. \n\nДві запасні половинки відсіків від надлишків Obonto та розрізаний труп K37 об'єдналися, щоб створити цей шедевр, спочатку "жарт", опублікований на дошці RingChan /dreamship/ користувачем snownukitro. З по-справжньому величезним вантажним відсіком та підтримкою стандартних УПМ і аксесуарів, чотирма кріпленнями низької міцнность для обладнання та неймовірною економією ваги порівняно з OБП-209, цей монстр ідеально підходить для роботи в кільцях - якщо тільки він ні во що не вріжеться. Застосовується обмежена гарантія.

SHIP_TRTL_OCP_SPECS|Вироблено: Rusatom-Antonoff / Obonto Microengineering / Sin Space Engineering \nКріплення низької міцності: 1 \nДок-відсіки: 4 \nЕкіпаж:: 4 \nСуха маса: 86,600 кг \nВантажний відсік: 720 м^3 \nСховище обробленого вантажу: 5,000 кг
